job,marital,education,default,housing,loan,contact,poutcome,SubscribeTermDeposit
management,divorced,secondary,no,yes,no,unknown,unknown,yes
admin.,single,secondary,yes,no,no,unknown,unknown,no
entrepreneur,single,tertiary,no,yes,no,unknown,unknown,no
entrepreneur,single,unknown,no,no,no,unknown,unknown,no
blue-collar,married,tertiary,no,no,yes,cellular,unknown,no
entrepreneur,single,unknown,no,yes,no,unknown,unknown,no
entrepreneur,single,primary,no,no,no,cellular,failure,no
unemployed,married,secondary,no,no,no,cellular,other,no
admin.,single,tertiary,no,yes,no,cellular,failure,no
unemployed,married,secondary,no,no,yes,unknown,unknown,no
admin.,divorced,secondary,no,yes,no,cellular,success,no
services,single,secondary,yes,no,no,unknown,unknown,no
admin.,divorced,secondary,no,no,no,cellular,failure,yes
services,single,primary,no,no,no,cellular,unknown,yes
management,single,tertiary,no,no,no,telephone,failure,yes
unemployed,married,primary,yes,yes,no,cellular,unknown,no
blue-collar,single,primary,no,yes,yes,cellular,failure,no
unemployed,divorced,tertiary,no,yes,no,cellular,failure,no
unknown,single,primary,no,yes,no,unknown,unknown,no
blue-collar,married,primary,yes,no,yes,cellular,unknown,no
blue-collar,divorced,primary,no,yes,no,cellular,success,no
housemaid,divorced,tertiary,no,yes,no,unknown,unknown,no
retired,married,secondary,no,no,no,telephone,other,no
entrepreneur,divorced,secondary,no,yes,yes,unknown,unknown,no
self-employed,married,tertiary,no,yes,yes,unknown,unknown,yes
technician,divorced,secondary,no,no,yes,unknown,unknown,no
retired,single,secondary,no,no,yes,unknown,unknown,no
blue-collar,divorced,unknown,no,yes,no,cellular,unknown,no
student,single,tertiary,no,yes,no,cellular,failure,no
retired,single,primary,no,no,no,telephone,unknown,no
self-employed,married,primary,no,no,no,cellular,unknown,no
housemaid,married,secondary,no,yes,no,cellular,unknown,no
blue-collar,divorced,unknown,no,no,no,unknown,unknown,yes
technician,married,tertiary,no,no,no,cellular,other,no
management,divorced,unknown,no,no,no,cellular,unknown,no
management,married,secondary,no,no,yes,unknown,unknown,no
services,single,secondary,no,yes,no,telephone,failure,no
entrepreneur,divorced,tertiary,no,no,no,cellular,failure,no
student,single,secondary,no,no,yes,cellular,failure,no
self-employed,single,tertiary,no,no,no,telephone,failure,yes
student,married,secondary,no,yes,no,telephone,other,no
management,single,tertiary,no,no,no,unknown,failure,no
technician,divorced,secondary,no,yes,no,cellular,success,no
management,single,tertiary,no,yes,no,telephone,other,no
self-employed,divorced,secondary,no,no,no,unknown,unknown,no
blue-collar,single,tertiary,no,yes,no,cellular,failure,no
technician,married,tertiary,no,yes,no,telephone,unknown,no
management,single,secondary,no,yes,no,cellular,failure,no
unemployed,single,tertiary,no,no,no,cellular,failure,no
self-employed,single,tertiary,no,yes,no,cellular,success,no
management,single,primary,no,no,no,unknown,unknown,no
housemaid,divorced,tertiary,no,no,no,cellular,unknown,no
retired,divorced,tertiary,no,yes,no,unknown,unknown,no
management,married,primary,no,yes,no,cellular,failure,no
services,single,secondary,no,no,yes,telephone,unknown,yes
technician,married,secondary,no,no,yes,cellular,other,no
unemployed,single,primary,no,no,no,cellular,unknown,no
services,single,tertiary,no,yes,no,cellular,failure,yes
unemployed,married,primary,no,yes,no,telephone,unknown,no
services,single,secondary,yes,yes,no,cellular,unknown,no
blue-collar,married,primary,no,no,no,telephone,failure,yes
technician,single,secondary,no,yes,no,cellular,success,yes
entrepreneur,married,unknown,no,no,yes,unknown,unknown,no
student,married,tertiary,no,no,no,cellular,unknown,no
technician,divorced,secondary,yes,no,yes,unknown,unknown,no
unemployed,married,unknown,no,no,no,cellular,unknown,no
unknown,married,unknown,no,no,no,telephone,unknown,no
admin.,divorced,secondary,no,yes,yes,telephone,unknown,yes
admin.,married,secondary,no,no,no,telephone,success,no
management,married,primary,no,no,yes,unknown,unknown,no
management,divorced,tertiary,yes,no,no,unknown,unknown,no
self-employed,single,tertiary,no,no,no,telephone,unknown,no
unknown,single,unknown,no,no,no,cellular,success,yes
admin.,married,tertiary,no,yes,no,telephone,unknown,no
blue-collar,married,secondary,yes,yes,yes,cellular,failure,no
blue-collar,divorced,primary,no,yes,no,telephone,unknown,no
blue-collar,divorced,unknown,no,no,no,cellular,other,no
self-employed,married,unknown,no,no,no,cellular,failure,no
retired,divorced,tertiary,no,no,no,unknown,unknown,no
unemployed,married,secondary,no,no,yes,telephone,unknown,no
blue-collar,divorced,primary,no,no,yes,telephone,unknown,no
unemployed,single,secondary,no,yes,no,cellular,failure,no
technician,married,secondary,no,yes,no,unknown,other,yes
admin.,single,secondary,no,yes,yes,telephone,failure,no
housemaid,married,secondary,no,yes,yes,unknown,unknown,no
housemaid,single,primary,no,yes,no,telephone,unknown,no
management,divorced,secondary,no,yes,yes,unknown,unknown,no
blue-collar,married,primary,no,yes,yes,telephone,other,no
retired,divorced,primary,no,no,yes,cellular,unknown,no
self-employed,married,secondary,no,no,no,cellular,failure,no
management,single,tertiary,no,no,no,unknown,success,no
technician,single,secondary,yes,no,no,unknown,unknown,no
admin.,married,tertiary,no,yes,yes,cellular,failure,no
management,single,unknown,no,no,no,cellular,failure,no
self-employed,divorced,tertiary,no,yes,no,cellular,success,yes
blue-collar,divorced,primary,no,yes,yes,unknown,unknown,no
entrepreneur,single,secondary,no,yes,no,unknown,unknown,no
blue-collar,single,unknown,no,no,no,cellular,failure,yes
self-employed,divorced,secondary,yes,no,no,cellular,unknown,no
housemaid,married,primary,yes,no,no,unknown,unknown,no
blue-collar,married,tertiary,no,yes,no,cellular,unknown,no
management,married,primary,yes,yes,yes,cellular,failure,no
unemployed,married,tertiary,no,no,no,cellular,success,no
technician,divorced,unknown,no,yes,no,cellular,other,no
self-employed,single,tertiary,no,no,no,cellular,other,yes
entrepreneur,single,tertiary,no,yes,no,telephone,failure,no
technician,single,tertiary,no,yes,yes,cellular,failure,no
entrepreneur,married,unknown,no,yes,no,cellular,failure,no
management,married,primary,no,yes,yes,cellular,failure,no
self-employed,married,tertiary,no,no,yes,cellular,unknown,no
technician,single,primary,no,no,no,cellular,unknown,no
admin.,single,secondary,no,yes,no,cellular,success,no
entrepreneur,single,primary,no,no,yes,cellular,unknown,no
retired,married,primary,no,no,yes,cellular,failure,no
student,married,tertiary,no,yes,no,unknown,unknown,no
self-employed,single,primary,no,no,no,unknown,unknown,no
blue-collar,married,primary,no,yes,no,cellular,success,no
entrepreneur,single,tertiary,no,yes,no,cellular,failure,no
admin.,divorced,primary,no,yes,no,cellular,failure,no
technician,married,secondary,yes,yes,no,cellular,unknown,no
management,married,primary,no,no,no,cellular,other,no
management,married,primary,no,yes,no,telephone,failure,no
services,married,tertiary,no,yes,no,unknown,unknown,no
admin.,divorced,unknown,no,yes,no,telephone,unknown,no
admin.,single,secondary,no,no,no,cellular,other,yes
blue-collar,divorced,secondary,no,yes,no,cellular,success,no
management,married,tertiary,yes,yes,yes,cellular,unknown,no
admin.,divorced,secondary,no,yes,no,telephone,other,no
technician,divorced,secondary,yes,yes,no,cellular,unknown,no
technician,single,tertiary,no,no,yes,unknown,unknown,no
management,single,tertiary,yes,no,no,unknown,unknown,no
services,married,unknown,no,yes,no,cellular,unknown,no
unemployed,married,primary,no,no,no,cellular,failure,no
management,single,tertiary,no,yes,no,unknown,failure,no
unemployed,single,unknown,no,no,no,cellular,unknown,yes
management,married,unknown,no,no,no,cellular,success,yes
blue-collar,divorced,primary,yes,yes,no,unknown,unknown,no
management,divorced,tertiary,yes,yes,yes,unknown,unknown,no
management,married,tertiary,no,no,yes,cellular,failure,no
retired,married,secondary,yes,no,no,cellular,unknown,no
services,married,primary,no,no,yes,cellular,unknown,no
admin.,married,tertiary,no,no,no,cellular,failure,yes
services,married,unknown,no,no,no,cellular,unknown,no
retired,single,primary,no,yes,no,unknown,unknown,no
housemaid,divorced,unknown,no,yes,no,unknown,unknown,no
retired,single,primary,no,no,no,cellular,unknown,no
admin.,married,secondary,yes,yes,no,cellular,unknown,no
technician,divorced,primary,no,yes,yes,cellular,unknown,no
unemployed,single,primary,no,yes,no,cellular,unknown,no
admin.,single,unknown,yes,no,no,unknown,unknown,no
self-employed,married,tertiary,no,yes,no,telephone,other,yes
retired,single,tertiary,no,no,no,cellular,unknown,no
management,single,tertiary,no,yes,no,telephone,success,no
blue-collar,single,secondary,no,no,no,telephone,failure,no
unemployed,single,unknown,no,yes,no,cellular,unknown,no
blue-collar,single,unknown,no,yes,no,telephone,unknown,no
services,married,unknown,no,no,no,unknown,unknown,no
retired,divorced,unknown,no,no,no,telephone,failure,no
technician,single,tertiary,no,no,no,cellular,other,yes
self-employed,married,secondary,no,no,yes,cellular,failure,no
student,single,primary,no,no,no,unknown,unknown,no
self-employed,divorced,secondary,no,no,no,cellular,other,no
management,married,tertiary,no,no,no,telephone,success,no
entrepreneur,married,primary,yes,no,yes,cellular,unknown,no
housemaid,married,secondary,no,yes,no,cellular,success,no
retired,divorced,unknown,no,no,no,cellular,unknown,yes
blue-collar,divorced,secondary,no,no,yes,cellular,failure,no
services,single,secondary,no,yes,yes,cellular,other,no
unemployed,divorced,secondary,no,no,no,cellular,success,yes
technician,single,secondary,no,yes,yes,cellular,other,no
unemployed,married,tertiary,no,no,no,telephone,unknown,no
management,divorced,tertiary,yes,yes,yes,cellular,failure,no
entrepreneur,married,unknown,no,yes,yes,cellular,failure,no
entrepreneur,divorced,secondary,no,yes,no,unknown,unknown,no
entrepreneur,single,secondary,no,yes,yes,unknown,unknown,no
technician,married,primary,no,yes,no,cellular,unknown,no
admin.,divorced,tertiary,no,yes,yes,cellular,failure,no
blue-collar,single,secondary,yes,no,no,cellular,failure,no
housemaid,married,primary,no,no,yes,cellular,unknown,no
self-employed,divorced,tertiary,yes,no,no,cellular,unknown,no
retired,married,tertiary,no,no,no,telephone,unknown,no
blue-collar,divorced,primary,no,no,yes,unknown,unknown,no
unknown,married,secondary,no,no,no,cellular,failure,yes
blue-collar,single,secondary,yes,yes,no,telephone,unknown,no
self-employed,married,primary,no,no,no,unknown,unknown,no
student,single,unknown,no,no,no,cellular,other,no
services,married,secondary,no,no,yes,cellular,other,no
retired,married,unknown,no,no,no,cellular,failure,no
unknown,single,primary,no,yes,no,cellular,failure,no
blue-collar,married,secondary,yes,no,yes,cellular,unknown,no
services,married,tertiary,no,yes,yes,cellular,failure,no
technician,single,secondary,yes,no,yes,cellular,unknown,no
housemaid,married,unknown,no,yes,no,cellular,other,yes
entrepreneur,single,tertiary,no,no,yes,cellular,unknown,no
entrepreneur,married,tertiary,yes,yes,no,unknown,unknown,no
student,single,tertiary,no,yes,no,cellular,success,yes
technician,married,secondary,no,yes,yes,cellular,other,no
technician,single,unknown,no,yes,yes,cellular,failure,no
blue-collar,married,secondary,no,no,yes,cellular,failure,no
unknown,married,unknown,no,no,no,unknown,unknown,no
blue-collar,single,secondary,yes,no,yes,cellular,unknown,no
management,divorced,tertiary,no,yes,no,unknown,other,no
self-employed,married,secondary,no,yes,yes,unknown,unknown,no
blue-collar,married,secondary,no,no,no,telephone,failure,no
blue-collar,married,tertiary,no,yes,yes,unknown,unknown,no
housemaid,married,primary,yes,no,no,cellular,unknown,no
blue-collar,single,secondary,no,yes,no,telephone,success,no
blue-collar,single,secondary,no,yes,yes,cellular,failure,no
blue-collar,married,secondary,no,no,no,telephone,other,no
admin.,divorced,primary,no,yes,no,cellular,success,yes
entrepreneur,married,secondary,no,no,yes,telephone,unknown,no
management,married,primary,no,yes,yes,cellular,unknown,no
retired,single,secondary,no,yes,no,unknown,unknown,no
technician,single,secondary,no,no,yes,unknown,unknown,no
housemaid,divorced,tertiary,no,no,no,cellular,failure,no
services,divorced,secondary,no,no,no,cellular,success,yes
entrepreneur,single,secondary,no,no,no,telephone,unknown,yes
unemployed,divorced,secondary,no,yes,no,cellular,other,no
services,single,secondary,yes,yes,yes,cellular,unknown,no
retired,divorced,tertiary,no,no,no,telephone,unknown,no
retired,married,secondary,yes,yes,yes,cellular,unknown,no
admin.,married,tertiary,no,yes,yes,unknown,unknown,no
management,single,secondary,no,yes,no,cellular,other,no
entrepreneur,married,secondary,yes,yes,no,cellular,failure,no
entrepreneur,married,primary,no,no,yes,unknown,unknown,no
blue-collar,married,unknown,no,no,no,cellular,failure,no
entrepreneur,divorced,tertiary,yes,no,no,unknown,unknown,no
management,single,secondary,no,yes,no,telephone,failure,no
entrepreneur,single,primary,no,yes,no,cellular,unknown,no
housemaid,single,secondary,no,yes,yes,cellular,unknown,no
blue-collar,divorced,secondary,no,yes,no,telephone,failure,no
housemaid,divorced,tertiary,no,yes,no,cellular,unknown,no
services,single,secondary,yes,yes,yes,unknown,unknown,no
self-employed,married,unknown,no,yes,no,unknown,unknown,no
admin.,single,primary,no,yes,no,cellular,other,no
management,married,secondary,no,yes,yes,unknown,unknown,no
services,married,unknown,yes,no,no,cellular,unknown,no
admin.,divorced,primary,no,no,no,unknown,unknown,no
unemployed,single,secondary,no,yes,no,cellular,other,no
housemaid,single,primary,no,yes,no,cellular,unknown,no
housemaid,married,primary,no,no,no,cellular,failure,no
services,married,primary,no,yes,yes,telephone,unknown,no
management,single,primary,no,yes,no,unknown,unknown,no
management,married,secondary,no,yes,no,cellular,other,no
self-employed,single,tertiary,no,no,yes,unknown,unknown,no
housemaid,married,primary,yes,yes,yes,unknown,unknown,no
self-employed,married,tertiary,no,yes,no,telephone,unknown,no
blue-collar,divorced,primary,no,no,no,telephone,success,yes
admin.,married,primary,no,no,yes,cellular,unknown,no
admin.,married,tertiary,no,no,yes,cellular,failure,yes
blue-collar,single,secondary,no,no,yes,cellular,other,no
entrepreneur,married,tertiary,yes,no,no,unknown,unknown,no
unknown,married,primary,no,no,no,cellular,unknown,no
admin.,divorced,tertiary,no,no,no,cellular,other,no
unknown,married,unknown,no,yes,no,unknown,unknown,no
management,divorced,tertiary,no,yes,yes,cellular,other,no
management,married,tertiary,yes,no,yes,unknown,unknown,no
entrepreneur,divorced,secondary,no,yes,no,cellular,failure,yes
blue-collar,single,unknown,no,yes,yes,cellular,other,no
admin.,single,primary,no,no,no,telephone,unknown,no
management,married,secondary,no,no,yes,cellular,failure,no
services,married,unknown,no,yes,yes,cellular,unknown,no
admin.,single,secondary,no,yes,no,telephone,unknown,no
retired,divorced,tertiary,no,yes,no,cellular,failure,yes
services,married,unknown,no,no,yes,unknown,unknown,yes
entrepreneur,divorced,tertiary,no,yes,yes,unknown,unknown,no
blue-collar,divorced,primary,no,yes,no,telephone,failure,no
blue-collar,single,unknown,no,yes,yes,cellular,unknown,no
entrepreneur,married,primary,no,yes,yes,cellular,unknown,no
services,single,secondary,no,no,no,cellular,other,yes
unemployed,single,unknown,no,no,no,telephone,unknown,no
housemaid,single,primary,no,no,no,unknown,unknown,no
retired,married,primary,no,yes,yes,telephone,unknown,no
management,married,unknown,no,no,no,cellular,failure,no
blue-collar,married,secondary,yes,no,no,cellular,unknown,no
blue-collar,divorced,tertiary,no,yes,no,cellular,unknown,no
admin.,married,primary,no,yes,no,cellular,success,yes
unknown,single,secondary,no,no,no,telephone,unknown,no
retired,married,primary,no,yes,no,telephone,unknown,no
technician,married,secondary,no,no,yes,cellular,success,yes
technician,single,tertiary,no,no,no,cellular,failure,no
entrepreneur,divorced,tertiary,no,yes,no,cellular,other,no
admin.,married,primary,no,yes,yes,telephone,unknown,yes
blue-collar,single,unknown,yes,yes,yes,unknown,unknown,no
housemaid,divorced,secondary,no,no,no,telephone,failure,no
management,married,primary,yes,yes,yes,unknown,unknown,no
admin.,married,secondary,no,yes,no,telephone,other,yes
self-employed,married,tertiary,no,no,yes,telephone,unknown,no
housemaid,married,secondary,no,no,no,cellular,success,no
services,married,tertiary,no,no,no,unknown,unknown,no
unemployed,divorced,primary,no,no,no,cellular,failure,no
services,married,primary,no,no,no,telephone,unknown,no
management,married,tertiary,yes,no,no,cellular,failure,no
technician,divorced,tertiary,no,yes,no,cellular,other,no
self-employed,married,tertiary,no,no,no,telephone,unknown,no
admin.,single,secondary,no,no,yes,cellular,success,no
management,divorced,secondary,no,yes,no,cellular,success,no
management,single,tertiary,no,yes,yes,cellular,success,yes
admin.,single,secondary,no,yes,no,telephone,failure,no
retired,divorced,primary,no,no,no,telephone,success,yes
student,married,unknown,no,no,no,cellular,unknown,no
blue-collar,divorced,secondary,no,no,no,cellular,other,no
admin.,married,secondary,no,no,yes,telephone,failure,no
admin.,married,secondary,no,yes,no,telephone,failure,no
services,divorced,unknown,no,no,no,telephone,unknown,no
management,single,secondary,no,yes,no,telephone,unknown,no
housemaid,married,unknown,no,no,no,cellular,other,yes
technician,married,primary,no,no,no,cellular,other,no
blue-collar,single,secondary,no,yes,yes,cellular,other,no
blue-collar,single,secondary,yes,no,no,unknown,unknown,no
entrepreneur,married,tertiary,no,yes,yes,telephone,unknown,no
admin.,single,tertiary,no,no,no,unknown,unknown,no
services,married,tertiary,no,yes,no,cellular,other,yes
entrepreneur,single,secondary,yes,no,yes,cellular,unknown,no
housemaid,single,primary,no,yes,no,cellular,failure,no
technician,divorced,unknown,no,yes,no,cellular,failure,no
services,married,primary,no,yes,no,telephone,success,yes
management,single,unknown,yes,yes,no,unknown,unknown,no
entrepreneur,married,secondary,yes,yes,no,cellular,unknown,no
self-employed,single,unknown,no,no,no,unknown,unknown,yes
unknown,married,primary,no,no,no,unknown,unknown,no
technician,single,unknown,no,yes,yes,unknown,unknown,no
services,single,unknown,no,yes,no,cellular,failure,no
housemaid,married,unknown,no,no,no,telephone,unknown,no
retired,married,tertiary,no,yes,no,unknown,unknown,no
unemployed,single,tertiary,no,yes,no,telephone,unknown,no
unemployed,single,primary,no,yes,no,telephone,unknown,no
services,married,secondary,yes,yes,no,unknown,unknown,no
housemaid,divorced,primary,no,no,no,telephone,unknown,yes
housemaid,married,secondary,no,yes,no,telephone,unknown,no
technician,single,unknown,no,yes,no,cellular,success,no
self-employed,divorced,secondary,no,yes,yes,telephone,unknown,no
student,married,primary,no,yes,no,cellular,unknown,yes
admin.,married,secondary,no,no,no,cellular,other,yes
self-employed,single,tertiary,no,yes,yes,telephone,unknown,yes
management,divorced,primary,yes,yes,no,telephone,unknown,no
technician,married,secondary,no,no,no,telephone,other,no
housemaid,married,primary,no,no,yes,telephone,unknown,no
technician,single,secondary,yes,yes,yes,cellular,unknown,no
unknown,married,tertiary,no,no,no,unknown,unknown,no
services,divorced,primary,no,yes,no,telephone,unknown,no
blue-collar,divorced,primary,no,yes,yes,cellular,unknown,no
admin.,single,secondary,no,no,yes,cellular,other,no
services,married,tertiary,yes,no,yes,unknown,unknown,no
technician,divorced,secondary,no,no,no,telephone,unknown,no
technician,married,unknown,no,yes,no,cellular,success,yes
blue-collar,divorced,secondary,no,yes,no,telephone,success,yes
retired,married,tertiary,no,yes,no,telephone,failure,no
management,single,secondary,no,no,no,cellular,other,no
entrepreneur,married,secondary,no,yes,no,cellular,other,no
housemaid,married,tertiary,no,no,yes,unknown,unknown,no
blue-collar,married,primary,no,yes,no,telephone,other,no
unemployed,single,unknown,no,yes,no,unknown,unknown,no
student,single,secondary,no,yes,no,telephone,unknown,no
technician,divorced,secondary,no,no,no,cellular,other,yes
self-employed,single,secondary,no,yes,no,telephone,unknown,no
retired,married,tertiary,no,no,yes,cellular,failure,no
unemployed,divorced,tertiary,no,yes,no,cellular,unknown,no
self-employed,divorced,secondary,no,yes,no,unknown,unknown,no
retired,divorced,primary,no,no,no,telephone,other,no
services,divorced,primary,no,yes,no,cellular,unknown,no
housemaid,married,secondary,no,yes,no,cellular,other,no
retired,married,primary,no,no,no,telephone,failure,yes
management,divorced,tertiary,no,yes,no,cellular,success,no
unknown,married,secondary,no,no,no,telephone,unknown,no
services,single,tertiary,no,no,yes,cellular,unknown,no
unemployed,divorced,tertiary,no,no,no,cellular,unknown,yes
self-employed,married,secondary,no,no,no,telephone,failure,no
unemployed,married,secondary,yes,yes,no,unknown,unknown,no
technician,married,secondary,yes,yes,no,unknown,unknown,no
retired,divorced,secondary,no,yes,no,cellular,success,no
management,single,unknown,no,no,no,cellular,other,no
retired,single,secondary,no,yes,yes,unknown,unknown,no
entrepreneur,divorced,tertiary,no,yes,yes,cellular,failure,no
blue-collar,divorced,unknown,no,no,yes,cellular,unknown,no
retired,divorced,tertiary,no,no,yes,unknown,unknown,no
blue-collar,single,tertiary,no,no,yes,cellular,unknown,no
entrepreneur,divorced,primary,no,no,yes,cellular,other,no
management,married,primary,no,no,no,cellular,success,yes
retired,divorced,secondary,yes,no,yes,unknown,unknown,no
admin.,married,unknown,no,no,no,telephone,other,no
unemployed,single,secondary,no,yes,no,telephone,unknown,no
services,divorced,secondary,no,no,no,telephone,failure,no
unknown,married,tertiary,no,no,no,telephone,unknown,no
self-employed,married,tertiary,no,no,yes,cellular,other,no
services,divorced,primary,no,yes,yes,unknown,unknown,no
blue-collar,single,tertiary,no,yes,yes,unknown,unknown,no
services,single,unknown,no,yes,yes,cellular,failure,no
self-employed,single,unknown,no,no,no,cellular,unknown,no
management,married,tertiary,yes,yes,no,unknown,unknown,no
entrepreneur,married,tertiary,no,no,yes,unknown,unknown,no
technician,divorced,primary,no,no,no,cellular,unknown,no
entrepreneur,married,tertiary,no,no,no,telephone,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,success,no
unknown,married,secondary,no,no,no,cellular,other,yes
services,married,unknown,no,no,yes,cellular,unknown,no
technician,married,unknown,no,yes,yes,telephone,unknown,no
management,divorced,primary,no,no,yes,cellular,unknown,no
self-employed,married,secondary,yes,yes,yes,cellular,unknown,no
management,married,unknown,no,yes,no,cellular,other,no
management,single,secondary,yes,no,no,telephone,unknown,no
unemployed,single,primary,no,no,no,unknown,unknown,no
unknown,single,secondary,no,yes,no,unknown,unknown,no
services,married,primary,no,yes,no,telephone,unknown,no
blue-collar,single,primary,no,yes,no,cellular,success,no
retired,married,unknown,no,yes,yes,cellular,unknown,no
retired,married,tertiary,no,yes,no,cellular,success,yes
admin.,married,secondary,yes,no,no,unknown,unknown,no
services,divorced,primary,no,no,no,telephone,unknown,no
unemployed,married,primary,no,no,no,cellular,other,no
technician,married,unknown,no,yes,yes,unknown,unknown,no
unknown,single,primary,no,no,no,unknown,unknown,no
admin.,single,tertiary,no,no,no,telephone,other,no
technician,married,tertiary,no,yes,yes,telephone,unknown,no
entrepreneur,married,primary,yes,yes,no,unknown,unknown,no
entrepreneur,divorced,unknown,no,no,no,unknown,unknown,no
technician,single,secondary,no,yes,no,telephone,failure,no
admin.,married,secondary,no,no,yes,cellular,other,no
student,single,secondary,no,no,yes,cellular,unknown,no
housemaid,divorced,primary,no,yes,no,cellular,unknown,yes
self-employed,married,secondary,no,no,no,telephone,unknown,no
admin.,single,unknown,no,yes,no,telephone,other,no
blue-collar,divorced,primary,no,no,no,telephone,unknown,no
self-employed,married,primary,no,yes,yes,unknown,unknown,no
services,married,secondary,no,no,no,telephone,success,yes
unemployed,single,tertiary,no,yes,no,cellular,other,no
housemaid,married,tertiary,no,yes,yes,cellular,unknown,no
retired,single,unknown,no,no,yes,cellular,unknown,no
admin.,single,unknown,no,yes,no,cellular,other,no
student,divorced,tertiary,no,no,no,telephone,unknown,no
admin.,single,secondary,no,yes,yes,telephone,unknown,no
blue-collar,single,tertiary,no,no,no,telephone,success,yes
management,divorced,tertiary,no,yes,no,telephone,other,no
technician,married,secondary,no,no,no,telephone,failure,no
services,divorced,secondary,no,no,yes,cellular,other,no
services,married,unknown,no,yes,no,cellular,failure,no
entrepreneur,married,secondary,no,no,yes,cellular,failure,no
housemaid,married,primary,no,yes,no,telephone,failure,no
retired,divorced,secondary,no,no,no,cellular,other,yes
blue-collar,married,tertiary,no,no,no,unknown,unknown,no
entrepreneur,married,tertiary,no,yes,no,cellular,other,no
technician,married,tertiary,yes,yes,yes,cellular,failure,no
unemployed,single,tertiary,no,no,no,telephone,unknown,no
management,married,unknown,yes,yes,no,unknown,unknown,no
self-employed,single,primary,no,yes,no,cellular,failure,no
unknown,single,primary,no,no,no,telephone,unknown,no
management,divorced,primary,no,no,no,unknown,unknown,no
management,married,secondary,no,no,yes,telephone,unknown,no
management,married,secondary,no,no,no,telephone,failure,no
technician,single,tertiary,no,yes,yes,cellular,other,no
unemployed,divorced,secondary,no,yes,no,telephone,unknown,no
technician,single,secondary,no,yes,yes,telephone,unknown,no
retired,divorced,tertiary,no,no,no,cellular,success,yes
blue-collar,single,secondary,yes,yes,no,cellular,other,no
retired,married,secondary,no,no,yes,cellular,success,yes
technician,married,primary,no,no,yes,cellular,unknown,no
student,single,tertiary,no,no,no,unknown,unknown,no
admin.,single,tertiary,no,yes,yes,unknown,unknown,no
housemaid,married,tertiary,no,no,no,telephone,unknown,no
services,married,secondary,no,yes,no,telephone,other,no
services,single,secondary,no,no,yes,cellular,failure,no
student,married,secondary,no,no,no,cellular,success,yes
self-employed,married,secondary,no,yes,no,telephone,failure,no
admin.,married,tertiary,yes,no,no,unknown,unknown,no
retired,divorced,primary,no,yes,no,cellular,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,failure,no
student,married,unknown,no,no,no,unknown,unknown,no
technician,married,tertiary,no,yes,no,telephone,other,no
blue-collar,divorced,primary,no,yes,no,cellular,other,no
management,single,primary,yes,no,no,cellular,unknown,yes
management,divorced,tertiary,yes,yes,yes,cellular,unknown,no
management,divorced,tertiary,yes,yes,no,unknown,unknown,no
services,single,primary,no,yes,no,cellular,unknown,no
student,single,tertiary,no,no,no,cellular,success,no
unknown,single,unknown,no,no,no,unknown,unknown,no
blue-collar,single,tertiary,no,yes,no,cellular,success,no
services,divorced,primary,no,yes,no,cellular,failure,no
admin.,single,tertiary,no,yes,yes,cellular,unknown,yes
management,married,tertiary,no,yes,yes,telephone,other,no
self-employed,divorced,tertiary,yes,yes,yes,cellular,unknown,no
blue-collar,married,unknown,no,yes,no,cellular,other,yes
admin.,married,secondary,no,no,no,telephone,failure,yes
retired,single,secondary,no,no,yes,cellular,unknown,yes
admin.,single,secondary,no,yes,no,unknown,other,yes
services,married,secondary,no,no,yes,telephone,failure,no
housemaid,single,secondary,no,no,yes,cellular,unknown,no
technician,married,tertiary,yes,no,no,cellular,unknown,no
entrepreneur,married,tertiary,yes,no,no,cellular,unknown,no
technician,married,unknown,no,no,yes,cellular,unknown,no
unemployed,married,secondary,no,yes,yes,telephone,unknown,no
services,married,secondary,no,no,yes,cellular,failure,no
management,married,tertiary,no,no,no,telephone,failure,no
admin.,single,primary,no,yes,yes,cellular,unknown,no
admin.,married,unknown,no,yes,yes,unknown,unknown,no
housemaid,married,tertiary,no,yes,yes,unknown,unknown,no
unknown,single,secondary,no,no,no,cellular,unknown,no
management,single,secondary,yes,no,no,cellular,failure,no
housemaid,divorced,secondary,no,yes,yes,cellular,unknown,no
services,divorced,primary,no,no,no,cellular,failure,no
technician,single,tertiary,no,yes,no,telephone,unknown,yes
unemployed,single,secondary,yes,no,yes,telephone,unknown,no
services,divorced,secondary,no,yes,yes,cellular,failure,no
admin.,married,primary,no,yes,yes,cellular,other,no
entrepreneur,married,primary,no,no,yes,cellular,unknown,no
management,divorced,secondary,no,no,yes,cellular,other,no
retired,married,primary,no,yes,no,cellular,failure,no
management,married,secondary,no,no,yes,cellular,success,yes
entrepreneur,divorced,tertiary,no,yes,no,cellular,failure,no
technician,married,primary,no,yes,yes,cellular,other,no
admin.,single,secondary,yes,yes,yes,cellular,unknown,no
unknown,single,secondary,no,no,yes,unknown,unknown,no
housemaid,married,secondary,no,yes,no,cellular,failure,no
services,married,unknown,no,yes,no,telephone,unknown,no
retired,married,tertiary,no,no,yes,cellular,other,no
self-employed,married,secondary,no,no,yes,unknown,unknown,no
technician,divorced,tertiary,no,no,no,cellular,failure,no
retired,married,secondary,no,no,no,telephone,success,yes
entrepreneur,divorced,primary,no,no,no,unknown,unknown,no
