,gender,enrolled_university,education_level,company_type,last_new_job,LookingForJobChange Has relevent experience,LookingForJobChange No relevent experience
1097,Other,,Phd,,1,Yes,
1098,Other,,Phd,,never,No,
1099,Other,Full time course,Graduate,,1,Yes,Yes
1100,Other,Full time course,Graduate,,2,,No
1101,Other,Full time course,Graduate,,3,,Yes
1102,Other,Full time course,Graduate,,never,Yes,Yes
1103,Other,Full time course,Graduate,Early Stage Startup,1,,No
1104,Other,Full time course,Graduate,NGO,1,,No
1105,Other,Full time course,Graduate,Public Sector,1,,Yes
1106,Other,Full time course,Graduate,Pvt Ltd,1,No,No
1107,Other,Full time course,Graduate,Pvt Ltd,2,,No
1108,Other,Full time course,Graduate,Pvt Ltd,never,Yes,
1109,Other,Full time course,High School,,1,,Yes
1110,Other,Full time course,High School,,never,,No
1111,Other,Full time course,High School,Public Sector,3,,Yes
1112,Other,Full time course,High School,Pvt Ltd,1,No,No
1113,Other,Full time course,High School,Pvt Ltd,2,,No
1114,Other,Full time course,High School,Pvt Ltd,3,,No
1115,Other,Full time course,High School,Pvt Ltd,never,,No
1116,Other,Full time course,Masters,,1,No,
1117,Other,Full time course,Masters,,2,,No
1118,Other,Full time course,Masters,Public Sector,>4,,No
1119,Other,Full time course,Masters,Pvt Ltd,1,No,
1120,Other,Full time course,Masters,Pvt Ltd,>4,No,
1121,Other,Full time course,Phd,,1,No,
1122,Other,Part time course,,Pvt Ltd,1,Yes,
1123,Other,Part time course,Graduate,,>4,,Yes
1124,Other,Part time course,Graduate,,never,No,
1125,Other,Part time course,Graduate,Funded Startup,1,,Yes
1126,Other,Part time course,Graduate,Other,2,,Yes
1127,Other,Part time course,Graduate,Pvt Ltd,1,Yes,Yes
1128,Other,Part time course,Graduate,Pvt Ltd,2,,Yes
1129,Other,Part time course,Graduate,Pvt Ltd,4,No,
1130,Other,Part time course,Graduate,Pvt Ltd,never,,No
1131,Other,Part time course,High School,,1,No,
1132,Other,Part time course,High School,Funded Startup,1,,No
1133,Other,Part time course,High School,Public Sector,2,,No
1134,Other,Part time course,High School,Pvt Ltd,1,No,
1135,Other,Part time course,High School,Pvt Ltd,2,,No
1136,Other,Part time course,High School,Pvt Ltd,>4,No,
1137,Other,Part time course,High School,Pvt Ltd,never,No,
1138,Other,Part time course,Masters,Funded Startup,2,No,
1139,Other,no_enrollment,,,1,No,No
1140,Other,no_enrollment,,,never,No,
1141,Other,no_enrollment,Graduate,,1,Yes,
1142,Other,no_enrollment,Graduate,,2,Yes,
1143,Other,no_enrollment,Graduate,,4,No,
1144,Other,no_enrollment,Graduate,,>4,Yes,No
1145,Other,no_enrollment,Graduate,,never,Yes,No
1146,Other,no_enrollment,Graduate,Early Stage Startup,1,No,
1147,Other,no_enrollment,Graduate,Funded Startup,1,No,No
1148,Other,no_enrollment,Graduate,Funded Startup,3,,No
1149,Other,no_enrollment,Graduate,NGO,1,No,
1150,Other,no_enrollment,Graduate,NGO,>4,,No
1151,Other,no_enrollment,Graduate,Public Sector,1,No,
1152,Other,no_enrollment,Graduate,Public Sector,4,Yes,
1153,Other,no_enrollment,Graduate,Public Sector,>4,No,No
1154,Other,no_enrollment,Graduate,Pvt Ltd,1,Yes,No
1155,Other,no_enrollment,Graduate,Pvt Ltd,2,No,
1156,Other,no_enrollment,Graduate,Pvt Ltd,3,No,
1157,Other,no_enrollment,Graduate,Pvt Ltd,4,No,
1158,Other,no_enrollment,Graduate,Pvt Ltd,>4,No,Yes
1159,Other,no_enrollment,Graduate,Pvt Ltd,never,No,
1160,Other,no_enrollment,High School,,2,No,No
1161,Other,no_enrollment,High School,,never,No,No
1162,Other,no_enrollment,High School,Funded Startup,4,Yes,
1163,Other,no_enrollment,High School,Pvt Ltd,1,No,
1164,Other,no_enrollment,High School,Pvt Ltd,3,,No
1165,Other,no_enrollment,High School,Pvt Ltd,never,No,No
1166,Other,no_enrollment,Masters,,1,No,No
1167,Other,no_enrollment,Masters,,3,Yes,
1168,Other,no_enrollment,Masters,,4,No,
1169,Other,no_enrollment,Masters,,>4,No,
1170,Other,no_enrollment,Masters,Pvt Ltd,1,No,No
1171,Other,no_enrollment,Masters,Pvt Ltd,2,No,No
1172,Other,no_enrollment,Masters,Pvt Ltd,3,,No
1173,Other,no_enrollment,Masters,Pvt Ltd,4,,No
1174,Other,no_enrollment,Masters,Pvt Ltd,>4,No,
1175,Other,no_enrollment,Phd,Pvt Ltd,>4,No,
1176,Other,no_enrollment,Primary School,,1,,No
1177,Other,no_enrollment,Primary School,,never,,No
1178,Other,no_enrollment,Primary School,Pvt Ltd,never,,No
