,fixed_acidity,citric_acid,median_wine_quality red,median_wine_quality white
1743,9.5,0.24,6.0,
1744,9.5,0.26,5.0,
1745,9.5,0.27,5.0,
1746,9.5,0.33,7.0,
1747,9.5,0.41,7.0,6.0
1748,9.5,0.44,5.0,
1749,9.5,0.47,,5.0
1750,9.5,0.49,6.0,
1751,9.5,0.52,6.0,
1752,9.5,0.66,5.0,
1753,9.6,0.12,6.0,
1754,9.6,0.21,,6.0
1755,9.6,0.23,5.0,
1756,9.6,0.24,5.0,
1757,9.6,0.28,5.0,5.0
1758,9.6,0.31,7.0,
1759,9.6,0.35,6.0,
1760,9.6,0.36,5.0,
1761,9.6,0.37,5.0,
1762,9.6,0.4,,5.0
1763,9.6,0.42,6.0,
1764,9.6,0.46,,6.0
1765,9.6,0.47,7.0,
1766,9.6,0.5,5.0,
1767,9.6,0.52,7.0,
1768,9.6,0.54,,5.0
1769,9.7,0.17,5.0,
1770,9.7,0.32,5.0,
1771,9.7,0.34,5.0,
1772,9.7,0.4,6.0,
1773,9.7,0.45,,6.0
1774,9.7,0.46,6.0,
1775,9.7,0.47,6.0,
1776,9.7,0.49,,6.0
1777,9.7,0.54,5.0,
1778,9.7,0.59,,5.0
1779,9.7,0.6,6.0,
1780,9.8,0.19,6.0,
1781,9.8,0.25,5.0,
1782,9.8,0.32,5.0,
1783,9.8,0.34,5.0,
1784,9.8,0.38,5.0,
1785,9.8,0.39,7.0,
1786,9.8,0.4,,5.0
1787,9.8,0.43,5.0,
1788,9.8,0.45,,5.0
1789,9.8,0.46,,5.0
1790,9.8,0.47,6.0,
1791,9.8,0.48,,5.0
1792,9.8,0.49,6.0,5.0
1793,9.8,0.74,,4.0
1794,9.9,0.07,5.0,
1795,9.9,0.19,5.0,
1796,9.9,0.23,,6.0
1797,9.9,0.24,5.0,
1798,9.9,0.25,5.0,
1799,9.9,0.26,5.0,
1800,9.9,0.28,5.0,
1801,9.9,0.38,7.0,
1802,9.9,0.41,5.0,
1803,9.9,0.45,5.0,
1804,9.9,0.46,6.0,4.0
1805,9.9,0.49,7.0,
1806,9.9,0.5,5.0,
1807,9.9,0.53,7.0,
1808,9.9,0.55,5.0,
1809,9.9,0.56,6.0,
1810,9.9,0.57,7.0,
1811,9.9,0.58,5.0,
1812,10.0,0.11,5.0,
1813,10.0,0.2,6.0,
1814,10.0,0.22,5.0,
1815,10.0,0.24,6.0,
1816,10.0,0.27,,6.0
1817,10.0,0.31,6.0,
1818,10.0,0.33,5.0,
1819,10.0,0.38,5.0,
1820,10.0,0.39,,6.0
1821,10.0,0.4,5.0,
1822,10.0,0.42,,4.0
1823,10.0,0.43,5.0,
1824,10.0,0.44,6.0,
1825,10.0,0.45,5.0,
1826,10.0,0.47,6.0,
1827,10.0,0.49,7.0,
1828,10.0,0.5,6.0,
1829,10.0,0.54,8.0,
1830,10.0,0.59,5.0,
1831,10.1,0.22,4.0,
1832,10.1,0.23,6.0,
1833,10.1,0.34,7.0,
1834,10.1,0.35,7.0,
1835,10.1,0.37,6.0,
1836,10.1,0.4,7.0,
1837,10.1,0.44,6.0,
1838,10.1,0.46,6.0,
1839,10.1,0.5,7.0,
1840,10.1,0.54,6.0,
1841,10.2,0.36,6.0,
1842,10.2,0.37,6.0,
1843,10.2,0.39,5.0,
1844,10.2,0.4,6.0,
1845,10.2,0.42,7.0,
1846,10.2,0.43,5.0,
1847,10.2,0.46,6.0,
1848,10.2,0.48,7.0,
1849,10.2,0.49,7.0,
1850,10.2,0.57,5.0,
1851,10.2,0.58,7.0,
1852,10.2,0.63,7.0,
1853,10.2,0.64,6.0,
1854,10.2,0.65,6.0,
1855,10.2,0.88,,4.0
1856,10.3,0.24,6.0,
1857,10.3,0.42,6.0,
1858,10.3,0.44,6.0,
1859,10.3,0.45,8.0,
1860,10.3,0.47,,3.0
1861,10.3,0.48,6.0,5.0
1862,10.3,0.5,5.0,
1863,10.3,0.52,5.0,
1864,10.3,0.56,6.0,
1865,10.4,0.23,6.0,
1866,10.4,0.24,5.0,
1867,10.4,0.42,3.0,
1868,10.4,0.45,6.0,
1869,10.4,0.46,7.0,
1870,10.4,0.48,6.0,
1871,10.4,0.49,3.0,
1872,10.4,0.5,6.0,
1873,10.4,0.54,5.0,
1874,10.4,0.55,6.0,
1875,10.4,0.58,6.0,
1876,10.4,0.61,5.0,
1877,10.4,0.63,7.0,
1878,10.4,0.73,7.0,
1879,10.5,0.35,6.0,
1880,10.5,0.42,7.0,
1881,10.5,0.46,6.0,
1882,10.5,0.47,7.0,
1883,10.5,0.49,4.0,
1884,10.5,0.51,6.0,
1885,10.5,0.64,7.0,
1886,10.5,0.66,7.0,
1887,10.6,0.37,5.0,
1888,10.6,0.39,5.0,
1889,10.6,0.43,6.0,
1890,10.6,0.45,6.0,
1891,10.6,0.48,6.0,
1892,10.6,0.49,6.0,
1893,10.6,0.57,7.0,
1894,10.6,0.59,5.0,
1895,10.6,0.6,5.0,
1896,10.6,0.64,6.0,
1897,10.6,0.68,6.0,
1898,10.7,0.22,6.0,
1899,10.7,0.34,5.0,
1900,10.7,0.37,6.0,
1901,10.7,0.38,7.0,
1902,10.7,0.39,5.0,
1903,10.7,0.48,6.0,
1904,10.7,0.53,8.0,
1905,10.7,0.56,,6.0
1906,10.8,0.3,5.0,
1907,10.8,0.33,5.0,
1908,10.8,0.41,6.0,
1909,10.8,0.42,6.0,
1910,10.8,0.43,6.0,
1911,10.8,0.44,6.0,
1912,10.8,0.45,5.0,
1913,10.8,0.46,5.0,
1914,10.9,0.47,6.0,
1915,10.9,0.49,6.0,
1916,10.9,0.52,6.0,
1917,10.9,0.58,5.0,
1918,11.0,0.48,5.0,
1919,11.0,0.58,7.0,
1920,11.0,0.68,5.0,
1921,11.1,0.42,6.0,
1922,11.1,0.47,7.0,
1923,11.1,0.48,5.0,
1924,11.1,0.49,7.0,
1925,11.1,0.53,7.0,
1926,11.1,0.54,5.0,
1927,11.1,0.73,6.0,
1928,11.2,0.24,6.0,
1929,11.2,0.5,5.0,
1930,11.2,0.55,6.0,
1931,11.2,0.56,6.0,
1932,11.2,0.74,5.0,
1933,11.3,0.41,5.0,
1934,11.3,0.45,6.0,
1935,11.3,0.5,5.0,
1936,11.3,0.66,6.0,
1937,11.3,0.67,8.0,
1938,11.4,0.44,6.0,
1939,11.4,0.49,6.0,
1940,11.4,0.5,5.0,
1941,11.4,0.66,6.0,
1942,11.4,0.69,6.0,
1943,11.5,0.48,5.0,
1944,11.5,0.49,6.0,
1945,11.5,0.5,6.0,
1946,11.5,0.51,6.0,
1947,11.5,0.52,5.0,
1948,11.5,0.54,6.0,
1949,11.5,0.59,6.0,
1950,11.5,0.6,6.0,
1951,11.5,0.71,7.0,
1952,11.6,0.4,6.0,
1953,11.6,0.44,4.0,
1954,11.6,0.53,5.0,
1955,11.6,0.54,7.0,
1956,11.6,0.55,7.0,
1957,11.6,0.57,6.0,
1958,11.6,0.58,5.0,
1959,11.6,0.64,6.0,
1960,11.6,0.66,3.0,
1961,11.7,0.47,7.0,
1962,11.7,0.49,5.0,
1963,11.7,0.63,6.0,
1964,11.8,0.38,,3.0
1965,11.8,0.49,7.0,
1966,11.8,0.52,7.0,
1967,11.8,0.55,6.0,
1968,11.9,0.49,5.0,
1969,11.9,0.5,6.0,
1970,11.9,0.51,6.0,
1971,11.9,0.53,7.0,
1972,11.9,0.58,6.0,
1973,11.9,0.65,6.0,
1974,11.9,0.66,7.0,
1975,11.9,0.69,6.0,
1976,12.0,0.49,7.0,
1977,12.0,0.5,4.0,
1978,12.0,0.55,6.0,
1979,12.0,0.56,6.0,
1980,12.0,0.59,7.0,
1981,12.0,0.66,7.0,
1982,12.0,0.76,7.0,
1983,12.1,0.52,5.0,
1984,12.2,0.49,5.0,
1985,12.2,0.5,6.0,
1986,12.2,0.54,6.0,
1987,12.3,0.49,5.0,
1988,12.3,0.63,5.0,
1989,12.4,0.49,6.0,
1990,12.4,0.51,6.0,
1991,12.4,0.58,6.0,
1992,12.5,0.49,6.0,
1993,12.5,0.54,7.0,
1994,12.5,0.55,6.0,
1995,12.5,0.6,5.0,
1996,12.5,0.63,5.0,
1997,12.6,0.49,6.0,
1998,12.6,0.54,6.0,
1999,12.6,0.66,6.0,
2000,12.6,0.72,8.0,
2001,12.7,0.45,6.0,
2002,12.7,0.49,5.0,
2003,12.7,0.65,5.0,
2004,12.8,0.63,6.0,
2005,12.8,0.66,7.0,
2006,12.8,0.74,7.0,
2007,12.9,0.49,7.0,
2008,12.9,0.55,6.0,
2009,13.0,0.49,6.0,
2010,13.0,0.65,5.0,
2011,13.2,0.52,6.0,
2012,13.2,0.55,5.0,
2013,13.3,0.52,6.0,
2014,13.3,0.58,5.0,
2015,13.3,0.75,7.0,
2016,13.4,0.62,6.0,
2017,13.5,0.79,5.0,
2018,13.7,0.68,6.0,
2019,13.8,0.67,6.0,
2020,14.0,0.63,6.0,
2021,14.2,0.49,,6.0
2022,14.3,0.74,6.0,
2023,15.0,0.44,7.0,
2024,15.5,0.49,5.0,
2025,15.6,0.49,5.0,
2026,15.6,0.76,7.0,
2027,15.9,0.65,5.0,
