frequency,attack-angle,chord-length,free-stream-velocity,scaled-sound-pressure
800,17.4,0.0254,55.5,123.091
400,4.0,0.3048,39.6,128.633
2000,15.4,0.0508,31.7,120.835
16000,0.0,0.2286,71.3,114.984
800,3.3,0.1016,71.3,131.074
1250,8.9,0.1016,39.6,127.71
6300,9.5,0.0254,55.5,124.222
1000,3.3,0.1016,39.6,131.971
500,15.4,0.0508,31.7,123.695
5000,0.0,0.3048,39.6,117.789
2000,4.0,0.3048,39.6,120.963
1600,9.5,0.0254,55.5,133.062
3150,4.2,0.0508,71.3,133.728
6300,15.6,0.1016,39.6,104.204
1250,8.4,0.0508,39.6,131.205
1600,4.0,0.2286,39.6,125.319
6300,4.8,0.0254,39.6,134.336
400,15.4,0.0508,71.3,126.805
2500,9.5,0.0254,55.5,134.152
1250,5.4,0.1524,55.5,130.777
800,9.9,0.1524,55.5,126.565
4000,4.0,0.3048,71.3,119.535
2000,7.3,0.2286,31.7,115.309
1600,22.2,0.0254,71.3,131.817
1000,19.7,0.0508,39.6,118.904
500,5.3,0.2286,39.6,132.251
315,17.4,0.0254,55.5,111.911
315,7.3,0.2286,71.3,139.808
315,7.3,0.2286,55.5,136.284
630,2.0,0.2286,55.5,126.842
800,0.0,0.1016,71.3,126.805
1000,7.3,0.2286,31.7,119.099
315,12.7,0.0254,71.3,122.938
1600,9.5,0.0254,71.3,133.756
630,5.4,0.1524,71.3,128.971
500,5.4,0.1524,71.3,126.291
800,5.3,0.2286,71.3,133.48
2000,7.3,0.2286,71.3,122.708
1000,3.0,0.3048,71.3,129.004
1000,0.0,0.1524,31.7,130.987
4000,0.0,0.1524,39.6,125.343
400,9.9,0.1524,39.6,128.345
1600,7.3,0.2286,71.3,125.728
2500,0.0,0.0254,71.3,133.707
4000,0.0,0.1016,31.7,126.933
12500,0.0,0.3048,71.3,112.241
1600,19.7,0.0508,39.6,117.604
3150,1.5,0.3048,71.3,123.392
3150,4.0,0.3048,71.3,121.775
10000,0.0,0.0254,31.7,134.227
1000,4.0,0.3048,71.3,131.015
10000,0.0,0.1524,71.3,120.247
4000,7.3,0.2286,55.5,117.284
3150,4.0,0.2286,39.6,120.419
315,5.4,0.1524,31.7,125.741
800,9.9,0.1524,39.6,126.345
200,11.2,0.0508,71.3,125.941
20000,4.8,0.0254,55.5,121.284
10000,0.0,0.0508,71.3,128.74
1600,8.9,0.1016,71.3,128.763
5000,0.0,0.1524,39.6,123.453
2000,0.0,0.2286,71.3,128.244
2500,0.0,0.0254,55.5,130.073
250,12.3,0.1016,39.6,129.675
400,12.3,0.1016,31.7,123.207
1000,6.7,0.1016,31.7,131.636
2500,9.9,0.1524,31.7,114.729
10000,0.0,0.0508,31.7,122.45
400,11.2,0.0508,39.6,130.67
2500,9.5,0.0254,31.7,130.086
400,9.9,0.1524,71.3,135.079
3150,0.0,0.1016,31.7,129.973
16000,2.7,0.1524,71.3,110.364
2500,11.2,0.0508,39.6,122.17
630,9.5,0.0254,39.6,126.514
1000,9.5,0.0254,39.6,130.374
3150,12.3,0.1016,55.5,116.914
500,2.0,0.2286,31.7,126.677
2500,15.4,0.0508,39.6,122.413
1600,15.6,0.1016,39.6,114.554
1600,9.5,0.0254,39.6,131.184
630,7.2,0.1524,39.6,133.198
1600,0.0,0.0254,31.7,129.267
2000,0.0,0.3048,71.3,127.461
2000,2.0,0.2286,39.6,122.797
8000,0.0,0.0508,71.3,130.89
12500,0.0,0.1016,55.5,119.91
10000,0.0,0.0254,39.6,133.376
